comdistnm,jobstatusdesc,licencetypes,tradename,first_iss_dt,industry_sector,is_growth,community_volume,impact_weight,is_licensed,vitality_index,recent_growth_count,strategic_action
SHERWOOD,Renewal Licensed,LIQUOR STORE,COSTCO CANADA LIQUOR,2006-04-05 07:53:20,Liquor & Nightlife,0,76,0.93,0,0.09,37,STABLE OPERATIONS
EAST FAIRVIEW INDUSTRIAL,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES,
RETAIL DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1),
WHOLESALER",GRAND TOURING AUTOMOBILES CALGARY/LAMBORGHINI CALGARY/ROLLS-ROYCE MOTOR CARS CALGARY/KOENIGSEGG CALGARY/AUTOMOBILI PININFARINA CALGARY,2021-07-08 10:02:45,Retail Trade,0,151,1.84,0,0.06,894,MONITOR FRICTION
ARBOUR LAKE,Renewal Licensed,RETAIL DEALER - PREMISES,SHEILA'S WINDOW TOPPERS & MORE,2010-01-13 11:00:30,Retail Trade,0,204,2.49,0,0.07,894,URGENT INTERVENTION
EAST SHEPARD INDUSTRIAL,Renewal Licensed,CONTRACTOR,CALGARY PAVING,2001-06-01 00:00:00,Construction & Trades,0,576,7.02,0,0.08,404,URGENT INTERVENTION
STONEY 3,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),SWEET KITCHEN,2022-12-23 09:24:10,Food & Beverage,0,250,3.05,0,0.28,943,URGENT INTERVENTION
EASTFIELD,Renewal Licensed,"RETAIL DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1),
WHOLESALER",WARDTIRECRAFT,2002-01-11 17:40:19,Retail Trade,0,115,1.4,0,0.06,894,MONITOR FRICTION
FAIRVIEW INDUSTRIAL,Licensed,PERSONAL SERVICE,HAIR BY ASHLEA,2026-01-13 16:33:27,Personal,1,325,3.96,1,0.1,449,URGENT INTERVENTION
BOWNESS,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",HOUSE OF CARS OLYMPIC PARK / PARK AND SELL,2020-10-20 14:57:13,Retail Trade,0,151,1.84,0,0.13,894,MONITOR FRICTION
CRESCENT HEIGHTS,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BEST INVESTMENT PROPERTIES,2019-02-05 11:22:48,Retail Trade,0,257,3.13,0,0.11,894,URGENT INTERVENTION
SAGE HILL,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",DOLLARAMA,2018-01-12 12:34:43,Food & Beverage,0,117,1.43,0,0.25,943,MONITOR FRICTION
NORTH AIRWAYS,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",LAMOSE,2023-12-06 15:02:57,Retail Trade,0,247,3.01,0,0.1,894,URGENT INTERVENTION
BELTLINE,Renewal Licensed,RETAIL DEALER - PREMISES,PEASEBLOSSOMS,2001-06-01 00:00:00,Retail Trade,0,971,11.84,0,0.11,894,URGENT INTERVENTION
SUNRIDGE,Licensed,FOOD SERVICE - PREMISES,PLC - MARKET CAFE / TIM HORTONS #63005,2025-10-22 10:14:03,Food & Beverage,1,385,4.7,1,0.12,943,URGENT INTERVENTION
WHITEHORN,Renewal Licensed,RETAIL DEALER - PREMISES,MEELAHLUXE BEAUTY,2024-11-15 11:37:07,Retail Trade,0,29,0.35,0,0.07,894,STABLE OPERATIONS
DEERFOOT BUSINESS CENTRE,Renewal Licensed,MANUFACTURER,OIL LIFT TECHNOLOGY,2013-08-01 05:32:38,Manufacturer,0,133,1.62,0,0.1,72,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,MANUFACTURER,BHJ CANADA MEAT PRODUCTS,2012-04-25 16:03:41,Manufacturer,0,850,10.37,0,0.09,72,URGENT INTERVENTION
INGLEWOOD,Renewal Licensed,RETAIL DEALER - PREMISES,LEMONCEILLO HOME,2015-04-09 08:21:09,Retail Trade,0,212,2.59,0,0.13,894,URGENT INTERVENTION
LAKEVIEW,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),DAIRY QUEEN,2020-10-21 12:30:37,Food & Beverage,0,25,0.3,0,0.04,943,STABLE OPERATIONS
ROYAL VISTA,Renewal Licensed,RETAIL DEALER - PREMISES,WORLD FASHION BOUTIQUE,2022-09-16 11:33:44,Retail Trade,0,169,2.06,0,0.08,894,URGENT INTERVENTION
SIGNAL HILL,Renewal Licensed,RETAIL DEALER - PREMISES,ALDILA BOUTIQUE,2001-12-05 20:04:36,Retail Trade,0,139,1.7,0,0.08,894,MONITOR FRICTION
CAPITOL HILL,Renewal Licensed,"RETAIL DEALER - PREMISES,
CANNABIS STORE",BUD BAR,2019-11-22 08:26:27,Retail Trade,0,88,1.07,0,0.1,894,STABLE OPERATIONS
STONEY 3,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),DIVINECO,2025-10-07 15:30:29,Construction & Trades,1,250,3.05,1,0.28,404,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,"MANUFACTURER,
RETAIL DEALER - PREMISES,
WHOLESALER",ANCIENT ARTS FIBRE CRAFTS,2022-12-02 14:45:10,Retail Trade,0,827,10.09,0,0.1,894,URGENT INTERVENTION
NORTH AIRWAYS,Renewal Licensed,WHOLESALER,ALL WEST PARKING SERVICES,2011-10-07 09:24:47,Wholesaler,0,247,3.01,0,0.1,73,URGENT INTERVENTION
FOOTHILLS,Renewal Licensed,MANUFACTURER,K&W POWDER COATING,2010-08-19 15:26:19,Manufacturer,0,850,10.37,0,0.09,72,URGENT INTERVENTION
BRENTWOOD,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),APARTMENT BUILDING,2023-01-09 11:38:14,Retail Trade,0,182,2.22,0,0.12,894,URGENT INTERVENTION
MISSION,Pending Renewal,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),APARTMENT BUILDING MISSION,2017-06-03 05:33:32,Retail Trade,0,164,2.0,0,0.13,894,MONITOR FRICTION
SILVERADO,Renewal Licensed,PERSONAL SERVICE,STYLES TO THE T,2023-07-12 16:31:14,Personal,0,26,0.32,0,0.08,449,STABLE OPERATIONS
BRENTWOOD,Renewal Licensed,"FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",KUKURUKU CRISPY CHICKEN,2024-10-24 12:46:09,Food & Beverage,0,182,2.22,0,0.12,943,URGENT INTERVENTION
GOLDEN TRIANGLE,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",P L AUTO REPAIR,2008-02-13 15:28:27,Retail Trade,0,72,0.88,0,0.07,894,STABLE OPERATIONS
MARLBOROUGH PARK,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",MADIGAN PHARMACY,2022-10-06 12:52:21,Food & Beverage,0,70,0.85,0,0.07,943,STABLE OPERATIONS
WEST SPRINGS,Licensed,RETAIL DEALER - PREMISES,TAIL BLAZERS OLD BANFF COACH ROAD,2025-11-26 15:02:19,Retail Trade,1,113,1.38,1,0.23,894,MONITOR FRICTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,CONTRACTOR,54 BLUE COMMUNICATIONS,2013-01-29 05:30:27,Construction & Trades,0,359,4.38,0,0.09,404,URGENT INTERVENTION
EAST SHEPARD INDUSTRIAL,Renewal Licensed,FOOD SERVICE - PREMISES,FRESH TASTE PRODUCE LIMITED,2024-03-27 15:49:10,Food & Beverage,0,576,7.02,0,0.08,943,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),WOOD MARSHALS,2026-03-19 12:28:57,Construction & Trades,1,359,4.38,1,0.09,404,URGENT INTERVENTION
PARKDALE,Pending Renewal,MASSAGE CENTRE (COMMERCIAL),CENTRE FOR SOFT TISSUE PAIN,2015-07-03 05:37:05,Massage,0,29,0.35,0,0.1,88,STABLE OPERATIONS
SADDLE RIDGE,Pending Renewal,CANNABIS STORE,PEARL CANNABIS,2023-06-19 10:17:55,Retail Trade,0,111,1.35,0,0.19,894,MONITOR FRICTION
FRANKLIN,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",TASSE BAKERY,2024-03-07 15:57:52,Food & Beverage,0,332,4.05,0,0.1,943,URGENT INTERVENTION
HIGHWOOD,Licensed,"TOBACCO RETAILER,
FOOD SERVICE - PREMISES,
VAPE RETAILER",NORTHMOUNT CONVENIENCE STORE,2026-03-25 09:17:17,Food & Beverage,1,26,0.32,1,0.12,943,STABLE OPERATIONS
WINDSOR PARK,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),WINDSOR PLACE,2018-10-10 13:16:56,Retail Trade,0,64,0.78,0,0.2,894,STABLE OPERATIONS
SIGNAL HILL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",EARL'S WESTHILLS,2001-06-01 00:00:00,Food & Beverage,0,139,1.7,0,0.08,943,MONITOR FRICTION
WILLOW PARK,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),BOURBON STREET GRILL,2009-09-16 10:54:27,Food & Beverage,0,313,3.82,0,0.1,943,URGENT INTERVENTION
HORIZON,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",UNITED PHARMACY,2023-05-05 09:22:10,Food & Beverage,0,269,3.28,0,0.1,943,URGENT INTERVENTION
ROYAL OAK,Renewal Licensed,"RETAIL DEALER - PREMISES,
CANNABIS STORE",OMKARA CANNABIS,2019-12-27 10:04:00,Retail Trade,0,12,0.15,0,0.0,894,STABLE OPERATIONS
SOUTH AIRWAYS,Renewal Licensed,"MOTOR VEHICLE REPAIR AND SERVICE (2-PROV N/R),
FOOD SERVICE - PREMISES",CROSSROADS CAR WASH,2009-12-02 14:02:08,Food & Beverage,0,496,6.05,0,0.1,943,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,"RETAIL DEALER - PREMISES,
CONTRACTOR",BARBECUES GALORE,2003-02-20 05:35:30,Retail Trade,0,359,4.38,0,0.09,894,URGENT INTERVENTION
MCKENZIE TOWNE,Pending Renewal,PERSONAL SERVICE,CHATTERS SALON & BEAUTY SUPPLY OUTLET,2005-06-29 11:19:52,Personal,0,132,1.61,0,0.09,449,MONITOR FRICTION
ARBOUR LAKE,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING)",STARBUCKS COFFEE #4325,2001-06-01 00:00:00,Food & Beverage,0,204,2.49,0,0.07,943,URGENT INTERVENTION
SUNNYSIDE,Licensed,PERSONAL SERVICE,LIGHT IMPACT LASER TREATMENTS,2025-07-09 11:45:17,Personal,1,98,1.2,1,0.13,449,STABLE OPERATIONS
CAPITOL HILL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",LIL EMPIRE BURGER,2022-11-15 11:32:30,Food & Beverage,0,88,1.07,0,0.1,943,STABLE OPERATIONS
BOWNESS,Renewal Licensed,"CHARITABLE ORGANIZATION,
APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS)",LONGBOW APARTMENTS,2011-01-18 15:59:50,Retail Trade,0,151,1.84,0,0.13,894,MONITOR FRICTION
SAGE HILL,Licensed,PERSONAL SERVICE,EDY HAIR PLANET,2026-01-16 07:53:03,Personal,1,117,1.43,1,0.25,449,MONITOR FRICTION
SOUTH AIRWAYS,Renewal Invoiced,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",AXE GAMES,2018-05-12 05:32:04,Food & Beverage,0,496,6.05,0,0.1,943,URGENT INTERVENTION
ACADIA,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",GOLDEN GATE RESTAURANT,2013-08-13 14:56:22,Food & Beverage,0,198,2.41,0,0.14,943,URGENT INTERVENTION
SKYLINE WEST,Renewal Licensed,"KENNEL SERVICE/PET DEALER,
RETAIL DEALER - PREMISES",TOP DOG STORE (THE),2014-12-01 13:48:16,Retail Trade,0,84,1.02,0,0.05,894,STABLE OPERATIONS
HAYSBORO,Renewal Licensed,"RETAIL DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",SOUTH PRO AUTOMOTIVE,2001-06-01 00:00:00,Retail Trade,0,212,2.59,0,0.13,894,URGENT INTERVENTION
SOUTHVIEW,Renewal Licensed,PERSONAL SERVICE,KING OF AFRO,2018-08-03 09:56:53,Personal,0,92,1.12,0,0.11,449,STABLE OPERATIONS
FRANKLIN,Licensed,SCHOOL (PROV. NOT REQUIRED),SOUL FEET DANCE,2025-10-22 09:28:44,School,1,332,4.05,1,0.1,52,URGENT INTERVENTION
SOUTH CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",DE THAI CUISINE,2015-02-03 05:30:53,Food & Beverage,0,198,2.41,0,0.22,943,URGENT INTERVENTION
SOUTH CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MAINSTREET PLAZA,2018-11-08 11:30:14,Retail Trade,0,198,2.41,0,0.22,894,URGENT INTERVENTION
HORIZON,Pending Renewal,"MANUFACTURER,
CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED)",TRIVIEW GLASS AND ALUMINUM,2016-06-23 13:25:52,Construction & Trades,0,269,3.28,0,0.1,404,URGENT INTERVENTION
FAIRVIEW INDUSTRIAL,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),CALGARY RIM REPAIR,2020-12-11 13:21:19,Automotive,0,325,3.96,0,0.1,80,URGENT INTERVENTION
SOUTH AIRWAYS,Renewal Licensed,"MANUFACTURER,
CONTRACTOR",NUVO CABINETS & STONES,2018-07-09 12:55:39,Construction & Trades,0,496,6.05,0,0.1,404,URGENT INTERVENTION
TARADALE,Renewal Licensed,RETAIL DEALER - PREMISES,FREEDOM MOBILE,2018-02-16 10:36:26,Retail Trade,0,34,0.41,0,0.15,894,STABLE OPERATIONS
DEER RIDGE,Pending Renewal,FOOD SERVICE - PREMISES (SEATING),SUBWAY,2006-06-22 09:28:10,Food & Beverage,0,65,0.79,0,0.12,943,STABLE OPERATIONS
FAIRVIEW INDUSTRIAL,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",MEMORABLE TIMES BBQ & GRILL,2019-06-13 11:55:05,Food & Beverage,0,325,3.96,0,0.1,943,URGENT INTERVENTION
MCKENZIE TOWNE,Renewal Licensed,KENNEL SERVICE/PET DEALER,PETLAND,2005-03-14 08:14:47,Retail Trade,0,132,1.61,0,0.09,894,MONITOR FRICTION
TEMPLE,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",FUTURE DRUG MART,2006-11-09 10:47:22,Food & Beverage,0,51,0.62,0,0.04,943,STABLE OPERATIONS
THORNCLIFFE,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (NO SEATING),
VAPE RETAILER",7 ELEVEN FOOD STORE #15482,2001-06-01 00:00:00,Food & Beverage,0,64,0.78,0,0.09,943,STABLE OPERATIONS
HILLHURST,Renewal Licensed,SCHOOL (PROV. APPROVED),ALBERTA COLLEGE OF MASSAGE THERAPY,2017-08-31 10:15:53,School,0,247,3.01,0,0.17,52,URGENT INTERVENTION
MCCALL,Renewal Licensed,"MOTOR VEHICLE DEALER - PREMISES,
MOTOR VEHICLE REPAIR AND SERVICE (1)",CAR CLINIC,2022-12-16 16:17:28,Retail Trade,0,387,4.72,0,0.15,894,URGENT INTERVENTION
BRENTWOOD,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),DR PAUL THIBERT / NW CHIROPRACTIC AND MASSAGE,2022-11-25 05:30:10,Massage,0,182,2.22,0,0.12,88,URGENT INTERVENTION
DEER RIDGE,Renewal Invoiced,RETAIL DEALER - PREMISES,SUNSHINE DOG GROOMING,2023-05-05 14:02:21,Retail Trade,0,65,0.79,0,0.12,894,STABLE OPERATIONS
ROSSCARROCK,Renewal Licensed,PERSONAL SERVICE,EUROPEAN HAIR DESIGN,2001-06-01 00:00:00,Personal,0,91,1.11,0,0.14,449,STABLE OPERATIONS
RESIDUAL WARD 12 - SUB AREA 12A,Renewal Invoiced,"MOTOR VEHICLE REPAIR AND SERVICE (1),
CONTRACTOR",NORTH STAR CONTRACTING,2013-05-15 05:48:11,Construction & Trades,0,121,1.48,0,0.07,404,MONITOR FRICTION
ELBOYA,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),COUNTRY LUBE,2016-09-07 14:02:34,Automotive,0,22,0.27,0,0.09,80,STABLE OPERATIONS
WILLOW PARK,Renewal Licensed,PERSONAL SERVICE (INDEPENDENT CHAIR OPERATOR),HAIR DESIGN BY ABBIE,2017-09-13 08:26:19,Personal,0,313,3.82,0,0.1,449,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),KIM CHI HOUSE,2006-02-09 16:18:43,Food & Beverage,0,830,10.12,0,0.13,943,URGENT INTERVENTION
DOWNTOWN COMMERCIAL CORE,Licensed,FOOD SERVICE - PREMISES (SEATING),VAN EXPRESS,2025-10-21 14:11:29,Food & Beverage,1,830,10.12,1,0.13,943,URGENT INTERVENTION
OAKRIDGE,Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES,
BODY RUB CENTRE,
PERSONAL SERVICE (MICROBLADING)",B AND T NAILS AND SPA,2025-07-28 09:07:01,Food & Beverage,1,50,0.61,1,0.16,943,STABLE OPERATIONS
LOWER MOUNT ROYAL,Renewal Invoiced,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),KILADON MANOR,2003-05-17 05:34:16,Retail Trade,0,145,1.77,0,0.14,894,MONITOR FRICTION
LOWER MOUNT ROYAL,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",PIZZAFACE,2024-11-08 15:45:01,Food & Beverage,0,145,1.77,0,0.14,943,MONITOR FRICTION
SUNALTA,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),THE MINI SCHOOL OF MUSIC,2025-05-14 09:32:11,School,1,140,1.71,0,0.13,52,MONITOR FRICTION
WILLOW PARK,Renewal Licensed,PERSONAL SERVICE,REMA'S PLACE,2006-01-12 15:54:25,Personal,0,313,3.82,0,0.1,449,URGENT INTERVENTION
ASPEN WOODS,Renewal Licensed,"ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",A LADYBUG BAKERY & CAFE,2017-01-10 08:42:47,Food & Beverage,0,49,0.6,0,0.04,943,STABLE OPERATIONS
ALTADORE,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),APARTMENT BUILDING,2001-06-01 00:00:00,Retail Trade,0,87,1.06,0,0.08,894,STABLE OPERATIONS
RUNDLE,Renewal Licensed,PAYDAY LENDER (GRANDFATHERED),MONEY MART,2009-09-22 09:34:29,Payday,0,34,0.41,0,0.09,1,STABLE OPERATIONS
FAIRVIEW INDUSTRIAL,Renewal Licensed,FOOD SERVICE - PREMISES,CASA BONITA FOODS,2024-08-09 11:33:59,Food & Beverage,0,325,3.96,0,0.1,943,URGENT INTERVENTION
MANCHESTER INDUSTRIAL,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),SBL CONTRACTORS,2025-03-20 10:13:56,Construction & Trades,0,827,10.09,0,0.1,404,URGENT INTERVENTION
BOWNESS,Renewal Licensed,MASSAGE CENTRE (COMMERCIAL),ALL MIND & BODY CALGARY,2024-10-07 14:45:20,Massage,0,151,1.84,0,0.13,88,MONITOR FRICTION
FOOTHILLS,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),SUNSHINE COACH,2015-12-22 12:43:25,Automotive,0,850,10.37,0,0.09,80,URGENT INTERVENTION
VARSITY,Licensed,RETAIL DEALER - PREMISES,SUNRISE RECORDS,2025-11-18 14:51:04,Retail Trade,1,259,3.16,1,0.1,894,URGENT INTERVENTION
CAPITOL HILL,Renewal Licensed,"RETAIL DEALER - PREMISES,
SECONDHAND DEALER",OPENBOX,2023-08-31 05:35:08,Retail Trade,0,88,1.07,0,0.1,894,STABLE OPERATIONS
CRESCENT HEIGHTS,Renewal Licensed,"CHARITABLE ORGANIZATION,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",NORTH HILL COMMUNITY CURLING CLUB,2001-06-01 00:00:00,Food & Beverage,0,257,3.13,0,0.11,943,URGENT INTERVENTION
OGDEN,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",OGDEN WHISTLE PUB (THE),2011-11-16 07:54:00,Food & Beverage,0,72,0.88,0,0.14,943,STABLE OPERATIONS
SOUTH AIRWAYS,Renewal Licensed,MOTOR VEHICLE DEALER - PREMISES,AUTO PLANET,2019-11-21 14:41:43,Retail Trade,0,496,6.05,0,0.1,894,URGENT INTERVENTION
EVANSTON,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",JP'S INDIAN BISTRO,2016-10-18 08:53:46,Food & Beverage,0,85,1.04,0,0.05,943,STABLE OPERATIONS
SHEPARD INDUSTRIAL,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),R A C E MECHANICAL SYSTEMS,2020-09-10 05:30:27,Construction & Trades,0,197,2.4,0,0.09,404,URGENT INTERVENTION
GREAT PLAINS,Renewal Licensed,MANUFACTURER,COLSON GROUP,2025-03-28 08:42:52,Manufacturer,0,174,2.12,0,0.07,72,URGENT INTERVENTION
STONEY 2,Licensed,"HOTEL/MOTEL,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",BEST WESTERN PREMIER FREEPORT INN CALGARY AIRPORT,2026-02-09 15:13:47,Food & Beverage,1,98,1.2,1,0.1,943,STABLE OPERATIONS
SOUTH AIRWAYS,Renewal Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER,
CONTRACTOR",LP SALES EQUIPMENT AND SUPPLIES,2012-11-15 05:36:49,Retail Trade,0,496,6.05,0,0.1,894,URGENT INTERVENTION
FOREST LAWN,Renewal Licensed,"TOBACCO RETAILER,
RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES (SEATING),
VAPE RETAILER",INSTANT HEMP & CONVENIENCE STORE,2015-03-03 05:33:35,Food & Beverage,0,160,1.95,0,0.09,943,MONITOR FRICTION
HIGHFIELD,Renewal Licensed,CONTRACTOR,HOUSTON ROOFING,2001-06-01 00:00:00,Construction & Trades,0,441,5.38,0,0.1,404,URGENT INTERVENTION
CRESCENT HEIGHTS,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),LUCKY DIM SUM,2007-01-19 09:57:51,Food & Beverage,0,257,3.13,0,0.11,943,URGENT INTERVENTION
STONEY 1,Renewal Licensed,WHOLESALER,INTERGRAPH CANADA,2018-10-27 05:33:01,Wholesaler,0,61,0.74,0,0.11,73,STABLE OPERATIONS
KILLARNEY/GLENGARRY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING),
OUTDOOR PATIO",COFFEE CATS CAFE,2001-06-01 00:00:00,Food & Beverage,0,92,1.12,0,0.13,943,STABLE OPERATIONS
SUNRIDGE,Licensed,RETAIL DEALER - PREMISES,WEDDING STORE (THE),2026-02-19 11:31:01,Retail Trade,1,385,4.7,1,0.12,894,URGENT INTERVENTION
SOUTH AIRWAYS,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT,
TOBACCO RETAILER,
ALCOHOL BEVERAGE SALES (RESTAURANT),
FOOD SERVICE - PREMISES (SEATING)",TOP BRASS RESTAURANT & LOUNGE,2001-06-01 00:00:00,Food & Beverage,0,496,6.05,0,0.1,943,URGENT INTERVENTION
CRESCENT HEIGHTS,Renewal Licensed,PERSONAL SERVICE,URBAN EDGE,2025-01-16 14:03:47,Personal,0,257,3.13,0,0.11,449,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,MANUFACTURER,FLUIDSTREAM,2023-11-07 08:21:43,Manufacturer,0,359,4.38,0,0.09,72,URGENT INTERVENTION
HARVEST HILLS,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),DRAGON GARDEN RESTAURANT,2015-08-17 16:42:27,Food & Beverage,0,12,0.15,0,0.17,943,STABLE OPERATIONS
VARSITY,Renewal Licensed,LODGING HOUSE,LODGING HOUSE,2019-08-02 12:11:31,Lodging,0,259,3.16,0,0.1,6,URGENT INTERVENTION
BRENTWOOD,Renewal Invoiced,FOOD SERVICE - PREMISES (SEATING),FIREHOUSE SUBS NORTHLAND,2025-05-20 16:03:37,Food & Beverage,1,182,2.22,0,0.12,943,URGENT INTERVENTION
FAIRVIEW INDUSTRIAL,Renewal Licensed,WHOLESALER,OPEN DOOR TECHNOLOGY,2013-03-06 15:10:59,Wholesaler,0,325,3.96,0,0.1,73,URGENT INTERVENTION
DALHOUSIE,Renewal Licensed,LODGING HOUSE,PLENTY DEVELOPMENT,2024-09-09 14:39:10,Lodging,0,46,0.56,0,0.04,6,STABLE OPERATIONS
BURNS INDUSTRIAL,Renewal Invoiced,WHOLESALER,METROPOLITAN HARDWOOD FLOORS,2022-05-10 09:32:06,Wholesaler,0,204,2.49,0,0.08,73,URGENT INTERVENTION
GREENVIEW INDUSTRIAL PARK,Renewal Licensed,CONTRACTOR (NO PROVINCIAL LICENCE REQUIRED),TRUE NORTH CONCRETE CUTTING AND CORING,2023-02-24 13:33:43,Construction & Trades,0,359,4.38,0,0.09,404,URGENT INTERVENTION
HORIZON,Renewal Licensed,"MANUFACTURER,
RETAIL DEALER - PREMISES,
CONTRACTOR,
WAREHOUSING",GRANITE COUNTRY,2015-01-22 05:33:30,Retail Trade,0,269,3.28,0,0.1,894,URGENT INTERVENTION
SUNRIDGE,Licensed,"RETAIL DEALER - PREMISES,
WHOLESALER",GOLDEN KITCHENETTE,2026-04-01 12:13:38,Retail Trade,1,385,4.7,1,0.12,894,URGENT INTERVENTION
FOREST LAWN INDUSTRIAL,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),BUDGET AUTO REPAIR,2005-11-29 07:15:19,Automotive,0,149,1.82,0,0.15,80,MONITOR FRICTION
STONEY 3,Pending Renewal,"MANUFACTURER,
RETAIL DEALER - PREMISES",RAJ'S ART GALLERY,2021-06-04 08:45:33,Retail Trade,0,250,3.05,0,0.28,894,URGENT INTERVENTION
DEER RUN,Renewal Licensed,"RETAIL DEALER - PREMISES,
FOOD SERVICE - PREMISES",DRUG SHOPPE,2005-12-28 15:04:36,Food & Beverage,0,6,0.07,0,0.0,943,STABLE OPERATIONS
EASTFIELD,Renewal Licensed,MANUFACTURER,LUXFER CANADA,2001-06-01 00:00:00,Manufacturer,0,115,1.4,0,0.06,72,MONITOR FRICTION
